Campaign,Ad Group,Keyword,Criterion Type,Labels
SEM_Cars,Ford,Ford buy,Exact,Buy
SEM_Cars,Ford,Ford buy,Phrase,Buy
SEM_Cars,Ford,+Ford +buy,Broad,Buy
SEM_Cars,Ford,Ford price,Exact,Price
SEM_Cars,Ford,Ford price,Phrase,Price
SEM_Cars,Ford,+Ford +price,Broad,Price
SEM_Cars,Ford,Ford shop,Exact,Shop
SEM_Cars,Ford,Ford shop,Phrase,Shop
SEM_Cars,Ford,+Ford +shop,Broad,Shop
SEM_Cars,Ford,Ford used,Exact,Used
SEM_Cars,Ford,Ford used,Phrase,Used
SEM_Cars,Ford,+Ford +used,Broad,Used
SEM_Cars,Ford,Ford second hand,Exact,Second Hand
SEM_Cars,Ford,Ford second hand,Phrase,Second Hand
SEM_Cars,Ford,+Ford +second +hand,Broad,Second Hand
SEM_Cars,Ford,Ford auto loan,Exact,Auto Loan
SEM_Cars,Ford,Ford auto loan,Phrase,Auto Loan
SEM_Cars,Ford,+Ford +auto +loan,Broad,Auto Loan
SEM_Cars,Ford,Ford car loan,Exact,Car Loan
SEM_Cars,Ford,Ford car loan,Phrase,Car Loan
SEM_Cars,Ford,+Ford +car +loan,Broad,Car Loan
SEM_Cars,Ford,Ford auto finance,Exact,Auto Finance
SEM_Cars,Ford,Ford auto finance,Phrase,Auto Finance
SEM_Cars,Ford,+Ford +auto +finance,Broad,Auto Finance
SEM_Cars,Ford,Ford car finance,Exact,Car Finance
SEM_Cars,Ford,Ford car finance,Phrase,Car Finance
SEM_Cars,Ford,+Ford +car +finance,Broad,Car Finance
SEM_Cars,Ford,Ford cheap,Exact,Cheap
SEM_Cars,Ford,Ford cheap,Phrase,Cheap
SEM_Cars,Ford,+Ford +cheap,Broad,Cheap
SEM_Cars,Ford,Ford cheapest,Exact,Cheapest
SEM_Cars,Ford,Ford cheapest,Phrase,Cheapest
SEM_Cars,Ford,+Ford +cheapest,Broad,Cheapest
SEM_Cars,Ford,Ford best price,Exact,Best Price
SEM_Cars,Ford,Ford best price,Phrase,Best Price
SEM_Cars,Ford,+Ford +best +price,Broad,Best Price
SEM_Cars,Ford,Ford lease,Exact,Lease
SEM_Cars,Ford,Ford lease,Phrase,Lease
SEM_Cars,Ford,+Ford +lease,Broad,Lease
SEM_Cars,Ford,Ford leasing,Exact,Leasing
SEM_Cars,Ford,Ford leasing,Phrase,Leasing
SEM_Cars,Ford,+Ford +leasing,Broad,Leasing
SEM_Cars,Ford,Ford certified,Exact,Certified
SEM_Cars,Ford,Ford certified,Phrase,Certified
SEM_Cars,Ford,+Ford +certified,Broad,Certified
SEM_Cars,Ford,buy Ford,Exact,Buy
SEM_Cars,Ford,buy Ford,Phrase,Buy
SEM_Cars,Ford,+buy +Ford,Broad,Buy
SEM_Cars,Ford,price Ford,Exact,Price
SEM_Cars,Ford,price Ford,Phrase,Price
SEM_Cars,Ford,+price +Ford,Broad,Price
SEM_Cars,Ford,shop Ford,Exact,Shop
SEM_Cars,Ford,shop Ford,Phrase,Shop
SEM_Cars,Ford,+shop +Ford,Broad,Shop
SEM_Cars,Ford,used Ford,Exact,Used
SEM_Cars,Ford,used Ford,Phrase,Used
SEM_Cars,Ford,+used +Ford,Broad,Used
SEM_Cars,Ford,second hand Ford,Exact,Second Hand
SEM_Cars,Ford,second hand Ford,Phrase,Second Hand
SEM_Cars,Ford,+second +hand +Ford,Broad,Second Hand
SEM_Cars,Ford,auto loan Ford,Exact,Auto Loan
SEM_Cars,Ford,auto loan Ford,Phrase,Auto Loan
SEM_Cars,Ford,+auto +loan +Ford,Broad,Auto Loan
SEM_Cars,Ford,car loan Ford,Exact,Car Loan
SEM_Cars,Ford,car loan Ford,Phrase,Car Loan
SEM_Cars,Ford,+car +loan +Ford,Broad,Car Loan
SEM_Cars,Ford,auto finance Ford,Exact,Auto Finance
SEM_Cars,Ford,auto finance Ford,Phrase,Auto Finance
SEM_Cars,Ford,+auto +finance +Ford,Broad,Auto Finance
SEM_Cars,Ford,car finance Ford,Exact,Car Finance
SEM_Cars,Ford,car finance Ford,Phrase,Car Finance
SEM_Cars,Ford,+car +finance +Ford,Broad,Car Finance
SEM_Cars,Ford,cheap Ford,Exact,Cheap
SEM_Cars,Ford,cheap Ford,Phrase,Cheap
SEM_Cars,Ford,+cheap +Ford,Broad,Cheap
SEM_Cars,Ford,cheapest Ford,Exact,Cheapest
SEM_Cars,Ford,cheapest Ford,Phrase,Cheapest
SEM_Cars,Ford,+cheapest +Ford,Broad,Cheapest
SEM_Cars,Ford,best price Ford,Exact,Best Price
SEM_Cars,Ford,best price Ford,Phrase,Best Price
SEM_Cars,Ford,+best +price +Ford,Broad,Best Price
SEM_Cars,Ford,lease Ford,Exact,Lease
SEM_Cars,Ford,lease Ford,Phrase,Lease
SEM_Cars,Ford,+lease +Ford,Broad,Lease
SEM_Cars,Ford,leasing Ford,Exact,Leasing
SEM_Cars,Ford,leasing Ford,Phrase,Leasing
SEM_Cars,Ford,+leasing +Ford,Broad,Leasing
SEM_Cars,Ford,certified Ford,Exact,Certified
SEM_Cars,Ford,certified Ford,Phrase,Certified
SEM_Cars,Ford,+certified +Ford,Broad,Certified
SEM_Cars,Chevrolet,Chevrolet buy,Exact,Buy
SEM_Cars,Chevrolet,Chevrolet buy,Phrase,Buy
SEM_Cars,Chevrolet,+Chevrolet +buy,Broad,Buy
SEM_Cars,Chevrolet,Chevrolet price,Exact,Price
SEM_Cars,Chevrolet,Chevrolet price,Phrase,Price
SEM_Cars,Chevrolet,+Chevrolet +price,Broad,Price
SEM_Cars,Chevrolet,Chevrolet shop,Exact,Shop
SEM_Cars,Chevrolet,Chevrolet shop,Phrase,Shop
SEM_Cars,Chevrolet,+Chevrolet +shop,Broad,Shop
SEM_Cars,Chevrolet,Chevrolet used,Exact,Used
SEM_Cars,Chevrolet,Chevrolet used,Phrase,Used
SEM_Cars,Chevrolet,+Chevrolet +used,Broad,Used
SEM_Cars,Chevrolet,Chevrolet second hand,Exact,Second Hand
SEM_Cars,Chevrolet,Chevrolet second hand,Phrase,Second Hand
SEM_Cars,Chevrolet,+Chevrolet +second +hand,Broad,Second Hand
SEM_Cars,Chevrolet,Chevrolet auto loan,Exact,Auto Loan
SEM_Cars,Chevrolet,Chevrolet auto loan,Phrase,Auto Loan
SEM_Cars,Chevrolet,+Chevrolet +auto +loan,Broad,Auto Loan
SEM_Cars,Chevrolet,Chevrolet car loan,Exact,Car Loan
SEM_Cars,Chevrolet,Chevrolet car loan,Phrase,Car Loan
SEM_Cars,Chevrolet,+Chevrolet +car +loan,Broad,Car Loan
SEM_Cars,Chevrolet,Chevrolet auto finance,Exact,Auto Finance
SEM_Cars,Chevrolet,Chevrolet auto finance,Phrase,Auto Finance
