Campaign,Ad Group,Keyword,Criterion Type,Labels
SEM_Travel,Hong Kong,Hong Kong tickets,Exact,Tickets
SEM_Travel,Hong Kong,Hong Kong tickets,Phrase,Tickets
SEM_Travel,Hong Kong,+Hong +Kong +tickets,Broad,Tickets
SEM_Travel,Hong Kong,Hong Kong trips,Exact,Trips
SEM_Travel,Hong Kong,Hong Kong trips,Phrase,Trips
SEM_Travel,Hong Kong,+Hong +Kong +trips,Broad,Trips
SEM_Travel,Hong Kong,Hong Kong flights,Exact,Flights
SEM_Travel,Hong Kong,Hong Kong flights,Phrase,Flights
SEM_Travel,Hong Kong,+Hong +Kong +flights,Broad,Flights
SEM_Travel,Hong Kong,Hong Kong vacation,Exact,Vacation
SEM_Travel,Hong Kong,Hong Kong vacation,Phrase,Vacation
SEM_Travel,Hong Kong,+Hong +Kong +vacation,Broad,Vacation
SEM_Travel,Hong Kong,Hong Kong holiday,Exact,Holiday
SEM_Travel,Hong Kong,Hong Kong holiday,Phrase,Holiday
SEM_Travel,Hong Kong,+Hong +Kong +holiday,Broad,Holiday
SEM_Travel,Hong Kong,Hong Kong travel,Exact,Travel
SEM_Travel,Hong Kong,Hong Kong travel,Phrase,Travel
SEM_Travel,Hong Kong,+Hong +Kong +travel,Broad,Travel
SEM_Travel,Hong Kong,Hong Kong airfare,Exact,Airfare
SEM_Travel,Hong Kong,Hong Kong airfare,Phrase,Airfare
SEM_Travel,Hong Kong,+Hong +Kong +airfare,Broad,Airfare
SEM_Travel,Hong Kong,tickets Hong Kong,Exact,Tickets
SEM_Travel,Hong Kong,tickets Hong Kong,Phrase,Tickets
SEM_Travel,Hong Kong,+tickets +Hong +Kong,Broad,Tickets
SEM_Travel,Hong Kong,trips Hong Kong,Exact,Trips
SEM_Travel,Hong Kong,trips Hong Kong,Phrase,Trips
SEM_Travel,Hong Kong,+trips +Hong +Kong,Broad,Trips
SEM_Travel,Hong Kong,flights Hong Kong,Exact,Flights
